SpName,TableName
FOND_ID.USP_LOAD_ETL5_PAYLIFE_DRIVER_DETAIL.sql,USP_LOAD_ETL5_PAYLIFE_DRIVER_DETAIL
FOND_ID.USP_LOAD_ETL5_PAYLIFE_DRIVER_DETAIL.sql,USP_GetRunIdReturn
FOND_ID.USP_LOAD_ETL5_PAYLIFE_DRIVER_DETAIL.sql,FOND_IFRS17_PROC_LOG
FOND_ID.USP_LOAD_ETL5_PAYLIFE_DRIVER_DETAIL.sql,STAG_PAYLIFE_STAG_TBIILIFE_INSURED_FINAL
FOND_ID.USP_LOAD_ETL5_PAYLIFE_DRIVER_DETAIL.sql,FOND_PAYLIFE_DRIVER_DETAIL
FOND_ID.USP_LOAD_ETL5_PAYLIFE_DRIVER_DETAIL.sql,FOND_ETL5_PAYLIFE_DRIVER_DETAIL
FOND_ID.USP_LOAD_ETL5_PAYLIFE_DRIVER_DETAIL.sql,FOND_ETL5_PAYLIFE_FYP_DRIVER_DETAIL
FOND_ID.USP_LOAD_ETL5_PER_ACCOUNT_VALUE_DRIVER_DETAIL_YTD.sql,USP_LOAD_ETL5_PER_ACCOUNT_VALUE_DRIVER_DETAIL_YTD
FOND_ID.USP_LOAD_ETL5_PER_ACCOUNT_VALUE_DRIVER_DETAIL_YTD.sql,FOND_ETL5_PER_ACCOUNT_VALUE_DRIVER_DETAIL_YTD
FOND_ID.USP_LOAD_ETL5_PER_ACCOUNT_VALUE_DRIVER_DETAIL_YTD.sql,USP_GetRunIdReturn
FOND_ID.USP_LOAD_ETL5_PER_ACCOUNT_VALUE_DRIVER_DETAIL_YTD.sql,FOND_IFRS17_PROC_LOG
FOND_ID.USP_LOAD_ETL5_PER_ACCOUNT_VALUE_DRIVER_DETAIL_YTD.sql,FOND_ETL5_LIFEASIA_DRIVER_DETAIL_PER_ACCOUNT_VALUE
FOND_ID.USP_LOAD_ETL5_PER_ACCOUNT_VALUE_DRIVER_DETAIL_YTD.sql,FOND_ETL5_PRUEMAS_DRIVER_DETAIL
FOND_ID.USP_LOAD_ETL5_PER_ACCOUNT_VALUE_DRIVER_DETAIL_YTD.sql,FOND_ETL5_PRUAMAN_DRIVER_DETAIL
FOND_ID.USP_LOAD_ETL5_PER_ACCOUNT_VALUE_DRIVER_DETAIL_YTD.sql,FOND_ETL5_PRUAMAN_SHARIA_DRIVER_DETAIL
FOND_ID.USP_LOAD_ETL5_PER_ACCOUNT_VALUE_DRIVER_DETAIL_YTD.sql,FOND_ETL5_PAYLIFE_DRIVER_DETAIL
FOND_ID.USP_LOAD_ETL5_PER_ACCOUNT_VALUE_DRIVER_DETAIL_YTD.sql,FOND_ETL5_CREDITSHIELD_DRIVER_DETAIL
FOND_ID.USP_LOAD_ETL5_PER_ACCOUNT_VALUE_DRIVER_DETAIL_YTD.sql,FOND_ETL5_PER_ACCOUNT_VALUE_DRIVER_DETAIL
FOND_ID.USP_LOAD_ETL5_PER_ACCOUNT_VALUE_DRIVER_DETAIL_YTD.sql,FOND_IFRS17_ETL5_PROC_LOG
FOND_ID.USP_ETL5_PRE_ALLOCATED_BALANCE_CHECK.sql,USP_ETL5_PRE_ALLOCATED_BALANCE_CHECK
