SpName,TableName
USP_LOAD_ABST_ALLOC_DRIVER_CONFIG.sql,ABST_ALLOC_DRIVER_CONFIG
USP_LOAD_ABST_ALLOC_DRIVER_CONFIG.sql,FOND_CONFIG_STAG_PLAI_ALLOCATION_MAPPING
USP_LOAD_ETL4_LIFEASIA_PARALLEL_FOND2.sql,USP_GetRunIdReturn
USP_LOAD_ETL4_LIFEASIA_PARALLEL_FOND2.sql,USP_LOAD_ETL4_LIFEASIA_PARALLEL_FOND2
USP_LOAD_ETL4_LIFEASIA_PARALLEL_FOND2.sql,STAG_IFRS17_PROC_LOG
USP_LOAD_ETL4_LIFEASIA_PARALLEL_FOND2.sql,FOND_LIFEASIA_ETL4_LIFEASIA_INVALID_202206
USP_LOAD_ETL4_LIFEASIA_PARALLEL_FOND2.sql,FOND_LIFEASIA_ETL4_TEMP_DATA11_TABARU_BATCH
USP_LOAD_ETL4_LIFEASIA_PARALLEL_FOND2.sql,STAG_CONFIG_IFRS17_PARAM_TABLE_MAPPING_NONRELATED
USP_LOAD_ETL4_LIFEASIA_PARALLEL_FOND2.sql,STAG_LIFEASIA_IFRS17_COA_INSCOPE
USP_LOAD_ETL4_LIFEASIA_PARALLEL_FOND2.sql,STAG_LIFEASIA_ZGLEPF
USP_LOAD_ETL4_LIFEASIA_PARALLEL_FOND2.sql,STAG_CONFIG_IFRS17_PARAM_TABLE_MAPPING
USP_LOAD_ETL4_LIFEASIA_PARALLEL_FOND2.sql,STAG_LIFEASIA_CHDRPF
USP_LOAD_ETL4_LIFEASIA_PARALLEL_FOND2.sql,STAG_LIFEASIA_COVRPF
USP_LOAD_ETL4_LIFEASIA_PARALLEL_FOND2.sql,STAG_LIFEASIA_COVTPF
USP_LOAD_ETL4_LIFEASIA_PARALLEL_FOND2.sql,STAG_LIFEASIA_ZRVHPF
USP_LOAD_ETL4_LIFEASIA_PARALLEL_FOND2.sql,STAG_LIFEASIA_ITEMPF
USP_LOAD_ETL4_LIFEASIA_PARALLEL_FOND2.sql,STAG_LIFEASIA_DESCPF
USP_LOAD_ETL4_LIFEASIA_PARALLEL_FOND2.sql,STAG_LIFEASIA_PTRNPF
USP_LOAD_ETL4_LIFEASIA_PARALLEL_FOND2.sql,FOND_IFRS17_ICG_STORES
USP_LOAD_ETL4_LIFEASIA_PARALLEL_FOND2.sql,STAG_LIFEASIA_CLMHPF
USP_LOAD_ETL4_LIFEASIA_PARALLEL_FOND2.sql,STAG_LIFEASIA_REGPPF
USP_LOAD_ETL4_LIFEASIA_PARALLEL_FOND2.sql,STAG_LIFEASIA_ZALTPF
USP_LOAD_ETL4_LIFEASIA_PARALLEL_FOND2.sql,STAG_LIFEASIA_ZCLPPF
USP_LOAD_ETL4_LIFEASIA_PARALLEL_FOND2.sql,STAG_CONFIG_IFRS17_COHORT_MAPPING_TABLE
USP_LOAD_ETL4_LIFEASIA_PARALLEL_FOND2.sql,STAG_CONFIG_IFRS17_CB_MAPPING
USP_LOAD_ETL4_LIFEASIA_PARALLEL_FOND2.sql,STAG_LIFEASIA_HPADPF
USP_LOAD_ETL4_LIFEASIA_PARALLEL.sql,USP_GetRunIdReturn
USP_LOAD_ETL4_LIFEASIA_PARALLEL.sql,USP_LOAD_ETL4_LIFEASIA_PARALLEL_BATCH
USP_LOAD_ETL4_LIFEASIA_PARALLEL.sql,STAG_IFRS17_PROC_LOG
USP_LOAD_ETL4_LIFEASIA_PARALLEL.sql,STAG_LIFEASIA_STEP1_CHUNK_BEGIN
USP_LOAD_ETL4_LIFEASIA_PARALLEL.sql,STAG_LIFEASIA_ACMVPF
USP_LOAD_ETL4_LIFEASIA_PARALLEL.sql,STAG_LIFEASIA_RTRNPF_ETL4
USP_LOAD_ETL4_LIFEASIA_PARALLEL.sql,STAG_CONFIG_ABST_FINANCE_CONFIG
USP_LOAD_ETL4_LIFEASIA_PARALLEL.sql,STAG_CONFIG_ETL5_B71_CONFIG
USP_LOAD_ETL4_LIFEASIA_PARALLEL.sql,FOND_CONFIG_ABST_FINANCE_CONFIG
USP_LOAD_ETL4_LIFEASIA_PARALLEL.sql,STAG_LIFEASIA_GTRNPF
USP_LOAD_ETL4_LIFEASIA_PARALLEL.sql,STAG_LIFEASIA_GENLPF
USP_LOAD_ETL4_LIFEASIA_PARALLEL.sql,STAG_LIFEASIA_COMMISSION_PAIRING
USP_LOAD_ETL4_LIFEASIA_PARALLEL.sql,STAG_LIFEASIA_ZGLEPF
USP_LOAD_ETL4_LIFEASIA_PARALLEL.sql,STAG_CONFIG_IFRS17_PARAM_TABLE_MAPPING
USP_LOAD_ETL4_LIFEASIA_PARALLEL.sql,STAG_CONFIG_IFRS17_PARAM_TABLE_MAPPING_NONRELATED
USP_LOAD_ETL4_LIFEASIA_PARALLEL.sql,STAG_LIFEASIA_CHDRPF
USP_LOAD_ETL4_LIFEASIA_PARALLEL.sql,STAG_LIFEASIA_COVRPF
USP_LOAD_ETL4_LIFEASIA_PARALLEL.sql,STAG_LIFEASIA_COVTPF
USP_LOAD_ETL4_LIFEASIA_PARALLEL.sql,STAG_LIFEASIA_ZRVHPF
USP_LOAD_ETL4_LIFEASIA_PARALLEL.sql,STAG_LIFEASIA_ITEMPF
USP_LOAD_ETL4_LIFEASIA_PARALLEL.sql,STAG_LIFEASIA_DESCPF
USP_LOAD_ETL4_LIFEASIA_PARALLEL.sql,STAG_LIFEASIA_PTRNPF
USP_LOAD_ETL4_LIFEASIA_PARALLEL.sql,FOND_IFRS17_ICG_STORES
USP_LOAD_ETL4_LIFEASIA_PARALLEL.sql,STAG_LIFEASIA_CLMHPF
USP_LOAD_ETL4_LIFEASIA_PARALLEL.sql,STAG_LIFEASIA_REGPPF
USP_LOAD_ETL4_LIFEASIA_PARALLEL.sql,STAG_LIFEASIA_ZALTPF
USP_LOAD_ETL4_LIFEASIA_PARALLEL.sql,STAG_LIFEASIA_ZCLPPF
USP_LOAD_ETL4_LIFEASIA_PARALLEL.sql,STAG_LIFEASIA_IFRS17_COA_INSCOPE
USP_LOAD_ETL4_LIFEASIA_PARALLEL.sql,STAG_CONFIG_IFRS17_COHORT_MAPPING_TABLE
USP_LOAD_ETL4_LIFEASIA_PARALLEL.sql,STAG_CONFIG_IFRS17_CB_MAPPING
USP_LOAD_ETL4_LIFEASIA_PARALLEL.sql,STAG_LIFEASIA_HPADPF
USP_LOAD_ETL4_LIFEASIA_PARALLEL.sql,FOND_LIFEASIA_ETL4_TEMP_DATA11_TABARU_BATCH
USP_LOAD_ETL4_LIFEASIA_PARALLEL.sql,STAG_LIFEASIA_ETL4_WOP_CI_HISTORICAL
USP_LOAD_ETL4_LIFEASIA_PARALLEL.sql,STAG_LIFEASIA_STEP1_CHUNK_END
USP_LOAD_ETL4_LIFEASIA_PARALLEL_FOND1.sql,USP_GetRunIdReturn
USP_LOAD_ETL4_LIFEASIA_PARALLEL_FOND1.sql,USP_LOAD_ETL4_LIFEASIA_PARALLEL_DATA11
USP_LOAD_ETL4_LIFEASIA_PARALLEL_FOND1.sql,FOND_LIFEASIA_ETL4_TEMP_DATA11_TABARU_BATCH
USP_LOAD_ETL4_LIFEASIA_PARALLEL_FOND1.sql,STAG_CONFIG_IFRS17_PARAM_TABLE_MAPPING_NONRELATED
USP_LOAD_ETL4_LIFEASIA_PARALLEL_FOND1.sql,STAG_LIFEASIA_IFRS17_COA_INSCOPE
USP_LOAD_ETL4_LIFEASIA_PARALLEL_FOND1.sql,STAG_IFRS17_PROC_LOG
USP_LOAD_ETL4_LAS_COMMISSION_PAYABLE_WHT.sql,USP_GetRunIdReturn
USP_LOAD_ETL4_LAS_COMMISSION_PAYABLE_WHT.sql,USP_LOAD_ETL4_LAS_COMMISSION_PAYABLE_WHT
USP_LOAD_ETL4_LAS_COMMISSION_PAYABLE_WHT.sql,STAG_IFRS17_PROC_LOG
USP_LOAD_ETL4_LAS_COMMISSION_PAYABLE_WHT.sql,STAG_LIFEASIA_ETL4_LIFEASIA_COM_WHT
USP_LOAD_ETL4_LAS_COMMISSION_PAYABLE_WHT.sql,STAG_LIFEASIA_ETL4_LIFEASIA_NONRELATED_COM_WHT
